"Src NE Name","Sink NE Name","Link Type","Status","Capacity","Media Type","Protection","Service Class","Utilization","Route WKT"
"CSG-E00046","CSG-E00047","CSG-Ring","Up","10G","Fiber","Ring","Access","57%","LINESTRING(117.021389 39.619423, 117.0235574 39.6170239, 117.025487 39.619619)"
"CSG-E00047","CSG-E00048","CSG-Ring","Up","10G","Fiber","Ring","Access","64%","LINESTRING(117.025487 39.619619, 117.0279495 39.6214736, 117.028933 39.618552)"
"CSG-E00048","CSG-E00049","CSG-Ring","Up","10G","Fiber","Ring","Access","71%","LINESTRING(117.028933 39.618552, 117.0311557 39.6162098, 117.033009 39.618854)"
"CSG-E00049","CSG-E00050","CSG-Ring","Up","10G","Fiber","Ring","Access","78%","LINESTRING(117.033009 39.618854, 117.0317797 39.6216145, 117.034799 39.621739)"
"CSG-E00050","CSG-E00051","CSG-Ring","Up","10G","Fiber","Ring","Access","85%","LINESTRING(117.034799 39.621739, 117.0377174 39.621379, 117.036739 39.624152)"
"CSG-E00051","CSG-E00052","CSG-Ring","Up","10G","Fiber","Ring","Access","92%","LINESTRING(117.036739 39.624152, 117.0342815 39.625664, 117.036822 39.627032)"
"ASG-051","CSG-E00046","ASG-CSG-Access","Maintenance","25G","Fiber","Dual-Homed","Backhaul","23%","LINESTRING(117.002941 39.65157, 117.0063785 39.6321759, 117.021389 39.619423)"
"ASG-071","CSG-E00052","ASG-CSG-Access","Up","25G","Fiber","Dual-Homed","Backhaul","30%","LINESTRING(116.978279 39.709609, 117.0222347 39.6787308, 117.036822 39.627032)"
"CSG-E00053","CSG-E00054","CSG-Ring","Up","10G","Fiber","Ring","Access","37%","LINESTRING(116.21888 40.238459, 116.2220534 40.2367859, 116.223817 40.23991)"
"CSG-E00054","CSG-E00055","CSG-Ring","Up","10G","Fiber","Ring","Access","44%","LINESTRING(116.223817 40.23991, 116.2202729 40.2402174, 116.220537 40.243765)"
"CSG-E00055","CSG-E00056","CSG-Ring","Up","10G","Fiber","Ring","Access","51%","LINESTRING(116.220537 40.243765, 116.2245238 40.2427205, 116.226584 40.24629)"
"CSG-E00056","CSG-E00057","CSG-Ring","Up","10G","Fiber","Ring","Access","58%","LINESTRING(116.226584 40.24629, 116.2233931 40.2463451, 116.224172 40.24944)"
"CSG-E00057","CSG-E00058","CSG-Ring","Up","10G","Fiber","Ring","Access","65%","LINESTRING(116.224172 40.24944, 116.2259426 40.2518242, 116.223037 40.252438)"
"CSG-E00058","CSG-E00059","CSG-Ring","Up","10G","Fiber","Ring","Access","72%","LINESTRING(116.223037 40.252438, 116.2199219 40.2507583, 116.218236 40.25387)"
"CSG-E00059","CSG-E00060","CSG-Ring","Up","10G","Fiber","Ring","Access","79%","LINESTRING(116.218236 40.25387, 116.2214836 40.2553008, 116.220077 40.258559)"
"CSG-E00060","CSG-E00061","CSG-Ring","Up","10G","Fiber","Ring","Access","86%","LINESTRING(116.220077 40.258559, 116.2171698 40.2555834, 116.213504 40.25755)"
"CSG-E00061","CSG-E00062","CSG-Ring","Up","10G","Fiber","Ring","Access","93%","LINESTRING(116.213504 40.25755, 116.2142179 40.2604241, 116.211313 40.259848)"
"CSG-E00062","CSG-E00063","CSG-Ring","Maintenance","10G","Fiber","Ring","Access","24%","LINESTRING(116.211313 40.259848, 116.2091432 40.2576776, 116.207802 40.260438)"
"CSG-E00063","CSG-E00064","CSG-Ring","Up","10G","Fiber","Ring","Access","31%","LINESTRING(116.207802 40.260438, 116.2082501 40.2638237, 116.204841 40.264028)"
"CSG-E00064","CSG-E00065","CSG-Ring","Up","10G","Fiber","Ring","Access","38%","LINESTRING(116.204841 40.264028, 116.20428 40.2606047, 116.200881 40.261298)"
"CSG-E00065","CSG-E00066","CSG-Ring","Down","10G","Fiber","Ring","Access","45%","LINESTRING(116.200881 40.261298, 116.1998753 40.2648667, 116.19623 40.264189)"
"CSG-E00066","CSG-E00067","CSG-Ring","Up","10G","Fiber","Ring","Access","52%","LINESTRING(116.19623 40.264189, 116.1958928 40.260972, 116.192803 40.261929)"
"CSG-E00067","CSG-E00068","CSG-Ring","Up","10G","Fiber","Ring","Access","59%","LINESTRING(116.192803 40.261929, 116.1898051 40.2606379, 116.191596 40.257909)"
"ASG-062","CSG-E00053","ASG-CSG-Access","Up","25G","Fiber","Dual-Homed","Backhaul","66%","LINESTRING(116.198959 40.259364, 116.2126824 40.2524973, 116.21888 40.238459)"
"ASG-112","CSG-E00068","ASG-CSG-Access","Up","25G","Fiber","Dual-Homed","Backhaul","73%","LINESTRING(116.25723 40.261268, 116.2238084 40.2714026, 116.191596 40.257909)"
"CSG-E00069","CSG-E00070","CSG-Ring","Up","10G","Fiber","Ring","Access","80%","LINESTRING(116.746337 39.527702, 116.7465485 39.5311652, 116.750001 39.530821)"
"CSG-E00070","CSG-E00071","CSG-Ring","Up","10G","Fiber","Ring","Access","87%","LINESTRING(116.750001 39.530821, 116.7522008 39.5332753, 116.749443 39.53508)"
"CSG-E00071","CSG-E00072","CSG-Ring","Up","10G","Fiber","Ring","Access","18%","LINESTRING(116.749443 39.53508, 116.7459676 39.5348164, 116.745805 39.538298)"
"CSG-E00072","CSG-E00073","CSG-Ring","Maintenance","10G","Fiber","Ring","Access","25%","LINESTRING(116.745805 39.538298, 116.7442773 39.5415397, 116.740996 39.540099)"
"CSG-E00073","CSG-E00074","CSG-Ring","Up","10G","Fiber","Ring","Access","32%","LINESTRING(116.740996 39.540099, 116.7380581 39.5378898, 116.735635 39.540654)"
"ASG-019","CSG-E00069","ASG-CSG-Access","Up","25G","Fiber","Dual-Homed","Backhaul","39%","LINESTRING(116.776339 39.554609, 116.7564947 39.5465559, 116.746337 39.527702)"
"ASG-013","CSG-E00074","ASG-CSG-Access","Up","25G","Fiber","Dual-Homed","Backhaul","46%","LINESTRING(116.784248 39.465869, 116.7464802 39.4945112, 116.735635 39.540654)"
"CSG-E00075","CSG-E00076","CSG-Ring","Up","10G","Fiber","Ring","Access","53%","LINESTRING(116.154597 40.008425, 116.1586155 40.0068185, 116.161467 40.010074)"
"CSG-E00076","CSG-E00077","CSG-Ring","Up","10G","Fiber","Ring","Access","60%","LINESTRING(116.161467 40.010074, 116.1653359 40.0116, 116.167875 40.008306)"
"CSG-E00077","CSG-E00078","CSG-Ring","Up","10G","Fiber","Ring","Access","67%","LINESTRING(116.167875 40.008306, 116.1717077 40.0085465, 116.172054 40.012371)"
"CSG-E00078","CSG-E00079","CSG-Ring","Up","10G","Fiber","Ring","Access","74%","LINESTRING(116.172054 40.012371, 116.1727099 40.0158947, 116.17625 40.015334)"
"CSG-E00079","CSG-E00080","CSG-Ring","Up","10G","Fiber","Ring","Access","81%","LINESTRING(116.17625 40.015334, 116.1800909 40.0152063, 116.180807 40.018982)"
"CSG-E00080","CSG-E00081","CSG-Ring","Up","10G","Fiber","Ring","Access","88%","LINESTRING(116.180807 40.018982, 116.1793476 40.0223873, 116.182609 40.024145)"
"CSG-E00081","CSG-E00082","CSG-Ring","Up","10G","Fiber","Ring","Access","19%","LINESTRING(116.182609 40.024145, 116.1826162 40.0280132, 116.178802 40.028657)"
"ASG-055","CSG-E00075","ASG-CSG-Access","Maintenance","25G","Fiber","Dual-Homed","Backhaul","26%","LINESTRING(116.137319 40.003133, 116.1450054 40.008889, 116.154597 40.008425)"
"ASG-060","CSG-E00082","ASG-CSG-Access","Up","25G","Fiber","Dual-Homed","Backhaul","33%","LINESTRING(116.192126 40.0633, 116.1792283 40.0483768, 116.178802 40.028657)"
"CSG-E00083","CSG-E00084","CSG-Ring","Up","10G","Fiber","Ring","Access","40%","LINESTRING(115.878205 39.465445, 115.8759182 39.4633437, 115.874588 39.46615)"
"CSG-E00084","CSG-E00085","CSG-Ring","Up","10G","Fiber","Ring","Access","47%","LINESTRING(115.874588 39.46615, 115.8734835 39.4696802, 115.869871 39.468885)"
"CSG-E00085","CSG-E00086","CSG-Ring","Down","10G","Fiber","Ring","Access","54%","LINESTRING(115.869871 39.468885, 115.8700324 39.465533, 115.866683 39.465741)"
"CSG-E00086","CSG-E00087","CSG-Ring","Up","10G","Fiber","Ring","Access","61%","LINESTRING(115.866683 39.465741, 115.8639846 39.4677855, 115.862193 39.464913)"
"CSG-E00087","CSG-E00088","CSG-Ring","Up","10G","Fiber","Ring","Access","68%","LINESTRING(115.862193 39.464913, 115.8629631 39.4618786, 115.859834 39.461974)"
"CSG-E00088","CSG-E00089","CSG-Ring","Up","10G","Fiber","Ring","Access","75%","LINESTRING(115.859834 39.461974, 115.856801 39.461668, 115.858135 39.458927)"
"CSG-E00089","CSG-E00090","CSG-Ring","Up","10G","Fiber","Ring","Access","82%","LINESTRING(115.858135 39.458927, 115.8610851 39.4580562, 115.859313 39.455542)"
"CSG-E00090","CSG-E00091","CSG-Ring","Up","10G","Fiber","Ring","Access","89%","LINESTRING(115.859313 39.455542, 115.8557076 39.455876, 115.855206 39.45229)"
"CSG-E00091","CSG-E00092","CSG-Ring","Up","10G","Fiber","Ring","Access","20%","LINESTRING(115.855206 39.45229, 115.8586395 39.45311, 115.859449 39.449674)"
"CSG-E00092","CSG-E00093","CSG-Ring","Maintenance","10G","Fiber","Ring","Access","27%","LINESTRING(115.859449 39.449674, 115.8573142 39.4475498, 115.860088 39.446377)"
"CSG-E00093","CSG-E00094","CSG-Ring","Up","10G","Fiber","Ring","Access","34%","LINESTRING(115.860088 39.446377, 115.8631919 39.4465889, 115.86249 39.443558)"
"ASG-009","CSG-E00083","ASG-CSG-Access","Up","25G","Fiber","Dual-Homed","Backhaul","41%","LINESTRING(115.823679 39.443396, 115.8549108 39.4446058, 115.878205 39.465445)"
"ASG-009","CSG-E00094","ASG-CSG-Access","Up","25G","Fiber","Dual-Homed","Backhaul","48%","LINESTRING(115.823679 39.443396, 115.8430553 39.450463, 115.86249 39.443558)"
"CSG-E00095","CSG-E00096","CSG-Ring","Up","10G","Fiber","Ring","Access","55%","LINESTRING(115.952278 40.004704, 115.9498902 40.0035805, 115.95247 40.003025)"
"CSG-E00096","CSG-E00097","CSG-Ring","Up","10G","Fiber","Ring","Access","62%","LINESTRING(115.95247 40.003025, 115.9550227 40.0022958, 115.952586 40.001242)"
"CSG-E00097","CSG-E00098","CSG-Ring","Up","10G","Fiber","Ring","Access","69%","LINESTRING(115.952586 40.001242, 115.9509474 39.9991306, 115.953573 39.99963)"
"CSG-E00098","CSG-E00099","CSG-Ring","Up","10G","Fiber","Ring","Access","76%","LINESTRING(115.953573 39.99963, 115.9562091 40.0001663, 115.95466 39.997967)"
"CSG-E00099","CSG-E00100","CSG-Ring","Up","10G","Fiber","Ring","Access","83%","LINESTRING(115.95466 39.997967, 115.9534361 39.9955291, 115.956056 39.996289)"
"CSG-E00100","CSG-E00101","CSG-Ring","Up","10G","Fiber","Ring","Access","90%","LINESTRING(115.956056 39.996289, 115.9582378 39.9980043, 115.958221 39.995229)"
"CSG-E00101","CSG-E00102","CSG-Ring","Up","10G","Fiber","Ring","Access","21%","LINESTRING(115.958221 39.995229, 115.9595403 39.992726, 115.960871 39.995223)"
"CSG-E00102","CSG-E00103","CSG-Ring","Maintenance","10G","Fiber","Ring","Access","28%","LINESTRING(115.960871 39.995223, 115.9623624 39.9975603, 115.963251 39.994934)"
"CSG-E00103","CSG-E00104","CSG-Ring","Up","10G","Fiber","Ring","Access","35%","LINESTRING(115.963251 39.994934, 115.9650632 39.9928341, 115.965571 39.995561)"
"CSG-E00104","CSG-E00105","CSG-Ring","Up","10G","Fiber","Ring","Access","42%","LINESTRING(115.965571 39.995561, 115.9675666 39.9976031, 115.96823 39.994826)"
"CSG-E00105","CSG-E00106","CSG-Ring","Up","10G","Fiber","Ring","Access","49%","LINESTRING(115.96823 39.994826, 115.9707194 39.9936216, 115.970071 39.99631)"
"CSG-E00106","CSG-E00107","CSG-Ring","Up","10G","Fiber","Ring","Access","56%","LINESTRING(115.970071 39.99631, 115.9687105 39.9986516, 115.971331 39.997968)"
"CSG-E00107","CSG-E00108","CSG-Ring","Down","10G","Fiber","Ring","Access","63%","LINESTRING(115.971331 39.997968, 115.9730062 39.9956656, 115.974034 39.998321)"
"CSG-E00108","CSG-E00109","CSG-Ring","Up","10G","Fiber","Ring","Access","70%","LINESTRING(115.974034 39.998321, 115.973185 40.0009044, 115.97564 39.999735)"
"CSG-E00109","CSG-E00110","CSG-Ring","Up","10G","Fiber","Ring","Access","77%","LINESTRING(115.97564 39.999735, 115.9781889 40.0005835, 115.975745 40.001699)"
"ASG-054","CSG-E00095","ASG-CSG-Access","Up","25G","Fiber","Dual-Homed","Backhaul","84%","LINESTRING(115.942978 39.983021, 115.9437251 39.9955365, 115.952278 40.004704)"
"ASG-023","CSG-E00110","ASG-CSG-Access","Up","25G","Fiber","Dual-Homed","Backhaul","91%","LINESTRING(115.925705 40.054956, 115.9411387 40.0193203, 115.975745 40.001699)"
"CSG-E00111","CSG-E00112","CSG-Ring","Up","10G","Fiber","Ring","Access","22%","LINESTRING(116.460928 40.33225, 116.4618392 40.3292969, 116.458749 40.329342)"
"CSG-E00112","CSG-E00113","CSG-Ring","Maintenance","10G","Fiber","Ring","Access","29%","LINESTRING(116.458749 40.329342, 116.4557702 40.3291486, 116.457147 40.3265)"
"CSG-E00113","CSG-E00114","CSG-Ring","Up","10G","Fiber","Ring","Access","36%","LINESTRING(116.457147 40.3265, 116.458029 40.3235857, 116.45499 40.323774)"
"CSG-E00114","CSG-E00115","CSG-Ring","Up","10G","Fiber","Ring","Access","43%","LINESTRING(116.45499 40.323774, 116.4531431 40.3214176, 116.456037 40.32065)"
"CSG-E00115","CSG-E00116","CSG-Ring","Up","10G","Fiber","Ring","Access","50%","LINESTRING(116.456037 40.32065, 116.4585065 40.3190676, 116.455977 40.317583)"
"CSG-E00116","CSG-E00117","CSG-Ring","Up","10G","Fiber","Ring","Access","57%","LINESTRING(116.455977 40.317583, 116.4538627 40.3154518, 116.456646 40.314327)"
"CSG-E00117","CSG-E00118","CSG-Ring","Up","10G","Fiber","Ring","Access","64%","LINESTRING(116.456646 40.314327, 116.4597455 40.3142587, 116.458749 40.311323)"
"CSG-E00118","CSG-E00119","CSG-Ring","Up","10G","Fiber","Ring","Access","71%","LINESTRING(116.458749 40.311323, 116.459093 40.3081095, 116.462176 40.309079)"
"CSG-E00119","CSG-E00120","CSG-Ring","Up","10G","Fiber","Ring","Access","78%","LINESTRING(116.462176 40.309079, 116.4645145 40.3116177, 116.466935 40.309157)"
"CSG-E00120","CSG-E00121","CSG-Ring","Up","10G","Fiber","Ring","Access","85%","LINESTRING(116.466935 40.309157, 116.4685138 40.3063699, 116.470889 40.308519)"
"CSG-E00121","CSG-E00122","CSG-Ring","Up","10G","Fiber","Ring","Access","92%","LINESTRING(116.470889 40.308519, 116.4735398 40.3105237, 116.475178 40.307632)"
"ASG-043","CSG-E00111","ASG-CSG-Access","Up","25G","Fiber","Dual-Homed","Backhaul","23%","LINESTRING(116.484595 40.352112, 116.4691863 40.3464411, 116.460928 40.33225)"
"ASG-059","CSG-E00122","ASG-CSG-Access","Maintenance","25G","Fiber","Dual-Homed","Backhaul","30%","LINESTRING(116.494561 40.264681, 116.4771383 40.2826676, 116.475178 40.307632)"
"CSG-E00123","CSG-E00124","CSG-Ring","Up","10G","Fiber","Ring","Access","37%","LINESTRING(116.597626 39.600455, 116.5993623 39.59848, 116.599125 39.601099)"
"CSG-E00124","CSG-E00125","CSG-Ring","Up","10G","Fiber","Ring","Access","44%","LINESTRING(116.599125 39.601099, 116.5977024 39.6032753, 116.60006 39.602179)"
"CSG-E00125","CSG-E00126","CSG-Ring","Up","10G","Fiber","Ring","Access","51%","LINESTRING(116.60006 39.602179, 116.602595 39.6026854, 116.600139 39.603492)"
"CSG-E00126","CSG-E00127","CSG-Ring","Up","10G","Fiber","Ring","Access","58%","LINESTRING(116.600139 39.603492, 116.5981435 39.605142, 116.600698 39.604719)"
"CSG-E00127","CSG-E00128","CSG-Ring","Up","10G","Fiber","Ring","Access","65%","LINESTRING(116.600698 39.604719, 116.6032589 39.6040309, 116.6017 39.606176)"
"CSG-E00128","CSG-E00129","CSG-Ring","Down","10G","Fiber","Ring","Access","72%","LINESTRING(116.6017 39.606176, 116.5996752 39.6042422, 116.599324 39.60702)"
"CSG-E00129","CSG-E00130","CSG-Ring","Up","10G","Fiber","Ring","Access","79%","LINESTRING(116.599324 39.60702, 116.6020587 39.6067441, 116.600477 39.608992)"
"CSG-E00130","CSG-E00131","CSG-Ring","Up","10G","Fiber","Ring","Access","86%","LINESTRING(116.600477 39.608992, 116.5980876 39.6078727, 116.59931 39.610211)"
"CSG-E00131","CSG-E00132","CSG-Ring","Up","10G","Fiber","Ring","Access","93%","LINESTRING(116.59931 39.610211, 116.5983335 39.6127749, 116.597054 39.610348)"
"CSG-E00132","CSG-E00133","CSG-Ring","Up","10G","Fiber","Ring","Access","24%","LINESTRING(116.597054 39.610348, 116.5958819 39.6079731, 116.595319 39.610561)"
"CSG-E00133","CSG-E00134","CSG-Ring","Maintenance","10G","Fiber","Ring","Access","31%","LINESTRING(116.595319 39.610561, 116.5964625 39.6129615, 116.594047 39.61185)"
"CSG-E00134","CSG-E00135","CSG-Ring","Up","10G","Fiber","Ring","Access","38%","LINESTRING(116.594047 39.61185, 116.5941845 39.6091557, 116.592209 39.610993)"
"CSG-E00135","CSG-E00136","CSG-Ring","Up","10G","Fiber","Ring","Access","45%","LINESTRING(116.592209 39.610993, 116.5919371 39.6136263, 116.590514 39.611394)"
"CSG-E00136","CSG-E00137","CSG-Ring","Up","10G","Fiber","Ring","Access","52%","LINESTRING(116.590514 39.611394, 116.5885639 39.6094293, 116.588271 39.612182)"
"ASG-063","CSG-E00123","ASG-CSG-Access","Up","25G","Fiber","Dual-Homed","Backhaul","59%","LINESTRING(116.609171 39.604308, 116.6026071 39.6047529, 116.597626 39.600455)"
"ASG-063","CSG-E00137","ASG-CSG-Access","Up","25G","Fiber","Dual-Homed","Backhaul","66%","LINESTRING(116.609171 39.604308, 116.5973037 39.604483, 116.588271 39.612182)"
"CSG-E00138","CSG-E00139","CSG-Ring","Up","10G","Fiber","Ring","Access","73%","LINESTRING(115.910669 40.02084, 115.9092889 40.018025, 115.912373 40.017462)"
"CSG-E00139","CSG-E00140","CSG-Ring","Up","10G","Fiber","Ring","Access","80%","LINESTRING(115.912373 40.017462, 115.9136309 40.0148973, 115.91079 40.015196)"
"CSG-E00140","CSG-E00141","CSG-Ring","Up","10G","Fiber","Ring","Access","87%","LINESTRING(115.91079 40.015196, 115.9078503 40.0150837, 115.909257 40.0125)"
"CSG-E00141","CSG-E00142","CSG-Ring","Up","10G","Fiber","Ring","Access","18%","LINESTRING(115.909257 40.0125, 115.9121887 40.0132897, 115.911883 40.010269)"
