WKT
"LINESTRING(116.0000000 39.0000000,116.0010000 39.0000000)"
"LINESTRING(116.0280000 39.0010000,116.0290000 39.0010000)"
"LINESTRING(116.0000000 39.0020000,116.0010000 39.0020000)"
"LINESTRING(116.0010000 39.0020000,116.0020000 39.0020000)"
"LINESTRING(116.0020000 39.0020000,116.0030000 39.0020000)"
"LINESTRING(116.0030000 39.0020000,116.0040000 39.0020000)"
"LINESTRING(116.0040000 39.0020000,116.0050000 39.0020000)"
"LINESTRING(116.0050000 39.0020000,116.0060000 39.0020000)"
"LINESTRING(116.0060000 39.0020000,116.0070000 39.0020000)"
"LINESTRING(116.0070000 39.0020000,116.0080000 39.0020000)"
"LINESTRING(116.0080000 39.0020000,116.0090000 39.0020000)"
"LINESTRING(116.0090000 39.0020000,116.0100000 39.0020000)"
"LINESTRING(116.0100000 39.0020000,116.0110000 39.0020000)"
"LINESTRING(116.0110000 39.0020000,116.0120000 39.0020000)"
"LINESTRING(116.0120000 39.0020000,116.0130000 39.0020000)"
"LINESTRING(116.0130000 39.0020000,116.0140000 39.0020000)"
"LINESTRING(116.0140000 39.0020000,116.0150000 39.0020000)"
"LINESTRING(116.0150000 39.0020000,116.0160000 39.0020000)"
"LINESTRING(116.0160000 39.0020000,116.0170000 39.0020000)"
"LINESTRING(116.0170000 39.0020000,116.0180000 39.0020000)"
"LINESTRING(116.0180000 39.0020000,116.0190000 39.0020000)"
"LINESTRING(116.0190000 39.0020000,116.0200000 39.0020000)"
"LINESTRING(116.0200000 39.0020000,116.0210000 39.0020000)"
"LINESTRING(116.0210000 39.0020000,116.0220000 39.0020000)"
"LINESTRING(116.0220000 39.0020000,116.0230000 39.0020000)"
"LINESTRING(116.0230000 39.0020000,116.0240000 39.0020000)"
"LINESTRING(116.0240000 39.0020000,116.0250000 39.0020000)"
"LINESTRING(116.0250000 39.0020000,116.0260000 39.0020000)"
"LINESTRING(116.0260000 39.0020000,116.0270000 39.0020000)"
"LINESTRING(116.0270000 39.0020000,116.0280000 39.0020000)"
"LINESTRING(116.0280000 39.0020000,116.0290000 39.0020000)"
"LINESTRING(116.0000000 39.0030000,116.0010000 39.0030000)"
"LINESTRING(116.0010000 39.0030000,116.0020000 39.0030000)"
"LINESTRING(116.0020000 39.0030000,116.0030000 39.0030000)"
"LINESTRING(116.0030000 39.0030000,116.0040000 39.0030000)"
"LINESTRING(116.0040000 39.0030000,116.0050000 39.0030000)"
"LINESTRING(116.0050000 39.0030000,116.0060000 39.0030000)"
"LINESTRING(116.0060000 39.0030000,116.0070000 39.0030000)"
"LINESTRING(116.0070000 39.0030000,116.0080000 39.0030000)"
"LINESTRING(116.0080000 39.0030000,116.0090000 39.0030000)"
"LINESTRING(116.0090000 39.0030000,116.0100000 39.0030000)"
"LINESTRING(116.0100000 39.0030000,116.0110000 39.0030000)"
"LINESTRING(116.0110000 39.0030000,116.0120000 39.0030000)"
"LINESTRING(116.0120000 39.0030000,116.0130000 39.0030000)"
"LINESTRING(116.0130000 39.0030000,116.0140000 39.0030000)"
"LINESTRING(116.0140000 39.0030000,116.0150000 39.0030000)"
"LINESTRING(116.0150000 39.0030000,116.0160000 39.0030000)"
"LINESTRING(116.0160000 39.0030000,116.0170000 39.0030000)"
"LINESTRING(116.0170000 39.0030000,116.0180000 39.0030000)"
"LINESTRING(116.0180000 39.0030000,116.0190000 39.0030000)"
"LINESTRING(116.0190000 39.0030000,116.0200000 39.0030000)"
"LINESTRING(116.0200000 39.0030000,116.0210000 39.0030000)"
"LINESTRING(116.0210000 39.0030000,116.0220000 39.0030000)"
"LINESTRING(116.0220000 39.0030000,116.0230000 39.0030000)"
"LINESTRING(116.0230000 39.0030000,116.0240000 39.0030000)"
"LINESTRING(116.0240000 39.0030000,116.0250000 39.0030000)"
"LINESTRING(116.0250000 39.0030000,116.0260000 39.0030000)"
"LINESTRING(116.0260000 39.0030000,116.0270000 39.0030000)"
"LINESTRING(116.0270000 39.0030000,116.0280000 39.0030000)"
"LINESTRING(116.0280000 39.0030000,116.0290000 39.0030000)"
"LINESTRING(116.0000000 39.0040000,116.0010000 39.0040000)"
"LINESTRING(116.0010000 39.0040000,116.0020000 39.0040000)"
"LINESTRING(116.0020000 39.0040000,116.0030000 39.0040000)"
"LINESTRING(116.0030000 39.0040000,116.0040000 39.0040000)"
"LINESTRING(116.0040000 39.0040000,116.0050000 39.0040000)"
"LINESTRING(116.0050000 39.0040000,116.0060000 39.0040000)"
"LINESTRING(116.0060000 39.0040000,116.0070000 39.0040000)"
"LINESTRING(116.0070000 39.0040000,116.0080000 39.0040000)"
"LINESTRING(116.0080000 39.0040000,116.0090000 39.0040000)"
"LINESTRING(116.0090000 39.0040000,116.0100000 39.0040000)"
"LINESTRING(116.0100000 39.0040000,116.0110000 39.0040000)"
"LINESTRING(116.0110000 39.0040000,116.0120000 39.0040000)"
"LINESTRING(116.0120000 39.0040000,116.0130000 39.0040000)"
"LINESTRING(116.0130000 39.0040000,116.0140000 39.0040000)"
"LINESTRING(116.0140000 39.0040000,116.0150000 39.0040000)"
"LINESTRING(116.0150000 39.0040000,116.0160000 39.0040000)"
"LINESTRING(116.0160000 39.0040000,116.0170000 39.0040000)"
"LINESTRING(116.0170000 39.0040000,116.0180000 39.0040000)"
"LINESTRING(116.0180000 39.0040000,116.0190000 39.0040000)"
"LINESTRING(116.0190000 39.0040000,116.0200000 39.0040000)"
"LINESTRING(116.0200000 39.0040000,116.0210000 39.0040000)"
"LINESTRING(116.0210000 39.0040000,116.0220000 39.0040000)"
"LINESTRING(116.0220000 39.0040000,116.0230000 39.0040000)"
"LINESTRING(116.0230000 39.0040000,116.0240000 39.0040000)"
"LINESTRING(116.0240000 39.0040000,116.0250000 39.0040000)"
"LINESTRING(116.0250000 39.0040000,116.0260000 39.0040000)"
"LINESTRING(116.0260000 39.0040000,116.0270000 39.0040000)"
"LINESTRING(116.0270000 39.0040000,116.0280000 39.0040000)"
"LINESTRING(116.0280000 39.0040000,116.0290000 39.0040000)"
"LINESTRING(116.0000000 39.0050000,116.0010000 39.0050000)"
"LINESTRING(116.0010000 39.0050000,116.0020000 39.0050000)"
"LINESTRING(116.0020000 39.0050000,116.0030000 39.0050000)"
"LINESTRING(116.0030000 39.0050000,116.0040000 39.0050000)"
"LINESTRING(116.0040000 39.0050000,116.0050000 39.0050000)"
"LINESTRING(116.0050000 39.0050000,116.0060000 39.0050000)"
"LINESTRING(116.0060000 39.0050000,116.0070000 39.0050000)"
"LINESTRING(116.0070000 39.0050000,116.0080000 39.0050000)"
"LINESTRING(116.0080000 39.0050000,116.0090000 39.0050000)"
"LINESTRING(116.0090000 39.0050000,116.0100000 39.0050000)"
"LINESTRING(116.0100000 39.0050000,116.0110000 39.0050000)"
"LINESTRING(116.0110000 39.0050000,116.0120000 39.0050000)"
"LINESTRING(116.0120000 39.0050000,116.0130000 39.0050000)"
"LINESTRING(116.0130000 39.0050000,116.0140000 39.0050000)"
"LINESTRING(116.0140000 39.0050000,116.0150000 39.0050000)"
"LINESTRING(116.0150000 39.0050000,116.0160000 39.0050000)"
"LINESTRING(116.0160000 39.0050000,116.0170000 39.0050000)"
"LINESTRING(116.0170000 39.0050000,116.0180000 39.0050000)"
"LINESTRING(116.0180000 39.0050000,116.0190000 39.0050000)"
"LINESTRING(116.0190000 39.0050000,116.0200000 39.0050000)"
"LINESTRING(116.0200000 39.0050000,116.0210000 39.0050000)"
"LINESTRING(116.0210000 39.0050000,116.0220000 39.0050000)"
"LINESTRING(116.0220000 39.0050000,116.0230000 39.0050000)"
"LINESTRING(116.0230000 39.0050000,116.0240000 39.0050000)"
"LINESTRING(116.0240000 39.0050000,116.0250000 39.0050000)"
"LINESTRING(116.0250000 39.0050000,116.0260000 39.0050000)"
"LINESTRING(116.0260000 39.0050000,116.0270000 39.0050000)"
"LINESTRING(116.0270000 39.0050000,116.0280000 39.0050000)"
"LINESTRING(116.0280000 39.0050000,116.0290000 39.0050000)"
"LINESTRING(116.0000000 39.0060000,116.0010000 39.0060000)"
"LINESTRING(116.0010000 39.0060000,116.0020000 39.0060000)"
"LINESTRING(116.0020000 39.0060000,116.0030000 39.0060000)"
"LINESTRING(116.0030000 39.0060000,116.0040000 39.0060000)"
"LINESTRING(116.0040000 39.0060000,116.0050000 39.0060000)"
"LINESTRING(116.0050000 39.0060000,116.0060000 39.0060000)"
"LINESTRING(116.0060000 39.0060000,116.0070000 39.0060000)"
"LINESTRING(116.0070000 39.0060000,116.0080000 39.0060000)"
"LINESTRING(116.0080000 39.0060000,116.0090000 39.0060000)"
"LINESTRING(116.0090000 39.0060000,116.0100000 39.0060000)"
"LINESTRING(116.0100000 39.0060000,116.0110000 39.0060000)"
"LINESTRING(116.0110000 39.0060000,116.0120000 39.0060000)"
"LINESTRING(116.0120000 39.0060000,116.0130000 39.0060000)"
"LINESTRING(116.0130000 39.0060000,116.0140000 39.0060000)"
"LINESTRING(116.0140000 39.0060000,116.0150000 39.0060000)"
"LINESTRING(116.0150000 39.0060000,116.0160000 39.0060000)"
"LINESTRING(116.0160000 39.0060000,116.0170000 39.0060000)"
"LINESTRING(116.0170000 39.0060000,116.0180000 39.0060000)"
"LINESTRING(116.0180000 39.0060000,116.0190000 39.0060000)"
"LINESTRING(116.0190000 39.0060000,116.0200000 39.0060000)"
"LINESTRING(116.0200000 39.0060000,116.0210000 39.0060000)"
"LINESTRING(116.0210000 39.0060000,116.0220000 39.0060000)"
"LINESTRING(116.0220000 39.0060000,116.0230000 39.0060000)"
"LINESTRING(116.0230000 39.0060000,116.0240000 39.0060000)"
"LINESTRING(116.0240000 39.0060000,116.0250000 39.0060000)"
"LINESTRING(116.0250000 39.0060000,116.0260000 39.0060000)"
"LINESTRING(116.0260000 39.0060000,116.0270000 39.0060000)"
"LINESTRING(116.0270000 39.0060000,116.0280000 39.0060000)"
"LINESTRING(116.0280000 39.0060000,116.0290000 39.0060000)"
"LINESTRING(116.0000000 39.0070000,116.0010000 39.0070000)"
"LINESTRING(116.0010000 39.0070000,116.0020000 39.0070000)"
"LINESTRING(116.0020000 39.0070000,116.0030000 39.0070000)"
"LINESTRING(116.0030000 39.0070000,116.0040000 39.0070000)"
"LINESTRING(116.0040000 39.0070000,116.0050000 39.0070000)"
"LINESTRING(116.0050000 39.0070000,116.0060000 39.0070000)"
"LINESTRING(116.0060000 39.0070000,116.0070000 39.0070000)"
"LINESTRING(116.0070000 39.0070000,116.0080000 39.0070000)"
"LINESTRING(116.0080000 39.0070000,116.0090000 39.0070000)"
"LINESTRING(116.0090000 39.0070000,116.0100000 39.0070000)"
"LINESTRING(116.0100000 39.0070000,116.0110000 39.0070000)"
"LINESTRING(116.0110000 39.0070000,116.0120000 39.0070000)"
"LINESTRING(116.0120000 39.0070000,116.0130000 39.0070000)"
"LINESTRING(116.0130000 39.0070000,116.0140000 39.0070000)"
"LINESTRING(116.0140000 39.0070000,116.0150000 39.0070000)"
"LINESTRING(116.0150000 39.0070000,116.0160000 39.0070000)"
"LINESTRING(116.0160000 39.0070000,116.0170000 39.0070000)"
"LINESTRING(116.0170000 39.0070000,116.0180000 39.0070000)"
"LINESTRING(116.0180000 39.0070000,116.0190000 39.0070000)"
"LINESTRING(116.0190000 39.0070000,116.0200000 39.0070000)"
"LINESTRING(116.0200000 39.0070000,116.0210000 39.0070000)"
"LINESTRING(116.0210000 39.0070000,116.0220000 39.0070000)"
"LINESTRING(116.0220000 39.0070000,116.0230000 39.0070000)"
"LINESTRING(116.0230000 39.0070000,116.0240000 39.0070000)"
"LINESTRING(116.0240000 39.0070000,116.0250000 39.0070000)"
"LINESTRING(116.0250000 39.0070000,116.0260000 39.0070000)"
"LINESTRING(116.0260000 39.0070000,116.0270000 39.0070000)"
"LINESTRING(116.0270000 39.0070000,116.0280000 39.0070000)"
"LINESTRING(116.0280000 39.0070000,116.0290000 39.0070000)"
"LINESTRING(116.0000000 39.0080000,116.0010000 39.0080000)"
"LINESTRING(116.0010000 39.0080000,116.0020000 39.0080000)"
"LINESTRING(116.0020000 39.0080000,116.0030000 39.0080000)"
"LINESTRING(116.0030000 39.0080000,116.0040000 39.0080000)"
"LINESTRING(116.0040000 39.0080000,116.0050000 39.0080000)"
"LINESTRING(116.0050000 39.0080000,116.0060000 39.0080000)"
"LINESTRING(116.0060000 39.0080000,116.0070000 39.0080000)"
"LINESTRING(116.0070000 39.0080000,116.0080000 39.0080000)"
"LINESTRING(116.0080000 39.0080000,116.0090000 39.0080000)"
"LINESTRING(116.0090000 39.0080000,116.0100000 39.0080000)"
"LINESTRING(116.0100000 39.0080000,116.0110000 39.0080000)"
"LINESTRING(116.0110000 39.0080000,116.0120000 39.0080000)"
"LINESTRING(116.0120000 39.0080000,116.0130000 39.0080000)"
"LINESTRING(116.0130000 39.0080000,116.0140000 39.0080000)"
"LINESTRING(116.0140000 39.0080000,116.0150000 39.0080000)"
"LINESTRING(116.0150000 39.0080000,116.0160000 39.0080000)"
"LINESTRING(116.0160000 39.0080000,116.0170000 39.0080000)"
"LINESTRING(116.0170000 39.0080000,116.0180000 39.0080000)"
"LINESTRING(116.0180000 39.0080000,116.0190000 39.0080000)"
"LINESTRING(116.0190000 39.0080000,116.0200000 39.0080000)"
"LINESTRING(116.0200000 39.0080000,116.0210000 39.0080000)"
"LINESTRING(116.0210000 39.0080000,116.0220000 39.0080000)"
"LINESTRING(116.0220000 39.0080000,116.0230000 39.0080000)"
"LINESTRING(116.0230000 39.0080000,116.0240000 39.0080000)"
"LINESTRING(116.0240000 39.0080000,116.0250000 39.0080000)"
"LINESTRING(116.0250000 39.0080000,116.0260000 39.0080000)"
"LINESTRING(116.0260000 39.0080000,116.0270000 39.0080000)"
"LINESTRING(116.0270000 39.0080000,116.0280000 39.0080000)"
"LINESTRING(116.0280000 39.0080000,116.0290000 39.0080000)"
"LINESTRING(116.0000000 39.0090000,116.0010000 39.0090000)"
"LINESTRING(116.0010000 39.0090000,116.0020000 39.0090000)"
"LINESTRING(116.0020000 39.0090000,116.0030000 39.0090000)"
"LINESTRING(116.0030000 39.0090000,116.0040000 39.0090000)"
"LINESTRING(116.0040000 39.0090000,116.0050000 39.0090000)"
"LINESTRING(116.0050000 39.0090000,116.0060000 39.0090000)"
"LINESTRING(116.0060000 39.0090000,116.0070000 39.0090000)"
"LINESTRING(116.0070000 39.0090000,116.0080000 39.0090000)"
"LINESTRING(116.0080000 39.0090000,116.0090000 39.0090000)"
"LINESTRING(116.0090000 39.0090000,116.0100000 39.0090000)"
"LINESTRING(116.0100000 39.0090000,116.0110000 39.0090000)"
"LINESTRING(116.0110000 39.0090000,116.0120000 39.0090000)"
"LINESTRING(116.0120000 39.0090000,116.0130000 39.0090000)"
"LINESTRING(116.0130000 39.0090000,116.0140000 39.0090000)"
"LINESTRING(116.0140000 39.0090000,116.0150000 39.0090000)"
"LINESTRING(116.0150000 39.0090000,116.0160000 39.0090000)"
"LINESTRING(116.0160000 39.0090000,116.0170000 39.0090000)"
"LINESTRING(116.0170000 39.0090000,116.0180000 39.0090000)"
"LINESTRING(116.0180000 39.0090000,116.0190000 39.0090000)"
"LINESTRING(116.0190000 39.0090000,116.0200000 39.0090000)"
"LINESTRING(116.0200000 39.0090000,116.0210000 39.0090000)"
"LINESTRING(116.0210000 39.0090000,116.0220000 39.0090000)"
"LINESTRING(116.0220000 39.0090000,116.0230000 39.0090000)"
"LINESTRING(116.0230000 39.0090000,116.0240000 39.0090000)"
"LINESTRING(116.0240000 39.0090000,116.0250000 39.0090000)"
"LINESTRING(116.0250000 39.0090000,116.0260000 39.0090000)"
"LINESTRING(116.0260000 39.0090000,116.0270000 39.0090000)"
"LINESTRING(116.0270000 39.0090000,116.0280000 39.0090000)"
"LINESTRING(116.0280000 39.0090000,116.0290000 39.0090000)"
"LINESTRING(116.0000000 39.0100000,116.0010000 39.0100000)"
"LINESTRING(116.0010000 39.0100000,116.0020000 39.0100000)"
"LINESTRING(116.0020000 39.0100000,116.0030000 39.0100000)"
"LINESTRING(116.0030000 39.0100000,116.0040000 39.0100000)"
"LINESTRING(116.0040000 39.0100000,116.0050000 39.0100000)"
"LINESTRING(116.0050000 39.0100000,116.0060000 39.0100000)"
"LINESTRING(116.0060000 39.0100000,116.0070000 39.0100000)"
"LINESTRING(116.0070000 39.0100000,116.0080000 39.0100000)"
"LINESTRING(116.0080000 39.0100000,116.0090000 39.0100000)"
"LINESTRING(116.0090000 39.0100000,116.0100000 39.0100000)"
"LINESTRING(116.0100000 39.0100000,116.0110000 39.0100000)"
"LINESTRING(116.0110000 39.0100000,116.0120000 39.0100000)"
"LINESTRING(116.0120000 39.0100000,116.0130000 39.0100000)"
"LINESTRING(116.0130000 39.0100000,116.0140000 39.0100000)"
"LINESTRING(116.0140000 39.0100000,116.0150000 39.0100000)"
"LINESTRING(116.0150000 39.0100000,116.0160000 39.0100000)"
"LINESTRING(116.0160000 39.0100000,116.0170000 39.0100000)"
"LINESTRING(116.0170000 39.0100000,116.0180000 39.0100000)"
"LINESTRING(116.0180000 39.0100000,116.0190000 39.0100000)"
"LINESTRING(116.0190000 39.0100000,116.0200000 39.0100000)"
"LINESTRING(116.0200000 39.0100000,116.0210000 39.0100000)"
"LINESTRING(116.0210000 39.0100000,116.0220000 39.0100000)"
"LINESTRING(116.0220000 39.0100000,116.0230000 39.0100000)"
"LINESTRING(116.0230000 39.0100000,116.0240000 39.0100000)"
"LINESTRING(116.0240000 39.0100000,116.0250000 39.0100000)"
"LINESTRING(116.0250000 39.0100000,116.0260000 39.0100000)"
"LINESTRING(116.0260000 39.0100000,116.0270000 39.0100000)"
"LINESTRING(116.0270000 39.0100000,116.0280000 39.0100000)"
"LINESTRING(116.0280000 39.0100000,116.0290000 39.0100000)"
"LINESTRING(116.0000000 39.0110000,116.0010000 39.0110000)"
"LINESTRING(116.0010000 39.0110000,116.0020000 39.0110000)"
"LINESTRING(116.0020000 39.0110000,116.0030000 39.0110000)"
"LINESTRING(116.0030000 39.0110000,116.0040000 39.0110000)"
"LINESTRING(116.0040000 39.0110000,116.0050000 39.0110000)"
"LINESTRING(116.0050000 39.0110000,116.0060000 39.0110000)"
"LINESTRING(116.0060000 39.0110000,116.0070000 39.0110000)"
"LINESTRING(116.0070000 39.0110000,116.0080000 39.0110000)"
"LINESTRING(116.0080000 39.0110000,116.0090000 39.0110000)"
"LINESTRING(116.0090000 39.0110000,116.0100000 39.0110000)"
"LINESTRING(116.0100000 39.0110000,116.0110000 39.0110000)"
"LINESTRING(116.0110000 39.0110000,116.0120000 39.0110000)"
"LINESTRING(116.0120000 39.0110000,116.0130000 39.0110000)"
"LINESTRING(116.0130000 39.0110000,116.0140000 39.0110000)"
"LINESTRING(116.0140000 39.0110000,116.0150000 39.0110000)"
"LINESTRING(116.0150000 39.0110000,116.0160000 39.0110000)"
"LINESTRING(116.0160000 39.0110000,116.0170000 39.0110000)"
"LINESTRING(116.0170000 39.0110000,116.0180000 39.0110000)"
"LINESTRING(116.0180000 39.0110000,116.0190000 39.0110000)"
"LINESTRING(116.0190000 39.0110000,116.0200000 39.0110000)"
"LINESTRING(116.0200000 39.0110000,116.0210000 39.0110000)"
"LINESTRING(116.0210000 39.0110000,116.0220000 39.0110000)"
"LINESTRING(116.0220000 39.0110000,116.0230000 39.0110000)"
"LINESTRING(116.0230000 39.0110000,116.0240000 39.0110000)"
"LINESTRING(116.0240000 39.0110000,116.0250000 39.0110000)"
"LINESTRING(116.0250000 39.0110000,116.0260000 39.0110000)"
"LINESTRING(116.0260000 39.0110000,116.0270000 39.0110000)"
"LINESTRING(116.0270000 39.0110000,116.0280000 39.0110000)"
"LINESTRING(116.0280000 39.0110000,116.0290000 39.0110000)"
"LINESTRING(116.0000000 39.0120000,116.0010000 39.0120000)"
"LINESTRING(116.0010000 39.0120000,116.0020000 39.0120000)"
"LINESTRING(116.0020000 39.0120000,116.0030000 39.0120000)"
"LINESTRING(116.0030000 39.0120000,116.0040000 39.0120000)"
"LINESTRING(116.0040000 39.0120000,116.0050000 39.0120000)"
"LINESTRING(116.0050000 39.0120000,116.0060000 39.0120000)"
"LINESTRING(116.0060000 39.0120000,116.0070000 39.0120000)"
"LINESTRING(116.0070000 39.0120000,116.0080000 39.0120000)"
"LINESTRING(116.0080000 39.0120000,116.0090000 39.0120000)"
"LINESTRING(116.0090000 39.0120000,116.0100000 39.0120000)"
"LINESTRING(116.0100000 39.0120000,116.0110000 39.0120000)"
"LINESTRING(116.0110000 39.0120000,116.0120000 39.0120000)"
"LINESTRING(116.0120000 39.0120000,116.0130000 39.0120000)"
"LINESTRING(116.0130000 39.0120000,116.0140000 39.0120000)"
"LINESTRING(116.0140000 39.0120000,116.0150000 39.0120000)"
"LINESTRING(116.0150000 39.0120000,116.0160000 39.0120000)"
"LINESTRING(116.0160000 39.0120000,116.0170000 39.0120000)"
"LINESTRING(116.0170000 39.0120000,116.0180000 39.0120000)"
"LINESTRING(116.0180000 39.0120000,116.0190000 39.0120000)"
"LINESTRING(116.0190000 39.0120000,116.0200000 39.0120000)"
"LINESTRING(116.0200000 39.0120000,116.0210000 39.0120000)"
"LINESTRING(116.0210000 39.0120000,116.0220000 39.0120000)"
"LINESTRING(116.0220000 39.0120000,116.0230000 39.0120000)"
"LINESTRING(116.0230000 39.0120000,116.0240000 39.0120000)"
"LINESTRING(116.0240000 39.0120000,116.0250000 39.0120000)"
"LINESTRING(116.0250000 39.0120000,116.0260000 39.0120000)"
"LINESTRING(116.0260000 39.0120000,116.0270000 39.0120000)"
"LINESTRING(116.0270000 39.0120000,116.0280000 39.0120000)"
"LINESTRING(116.0280000 39.0120000,116.0290000 39.0120000)"
"LINESTRING(116.0000000 39.0130000,116.0010000 39.0130000)"
"LINESTRING(116.0010000 39.0130000,116.0020000 39.0130000)"
"LINESTRING(116.0020000 39.0130000,116.0030000 39.0130000)"
"LINESTRING(116.0030000 39.0130000,116.0040000 39.0130000)"
"LINESTRING(116.0040000 39.0130000,116.0050000 39.0130000)"
"LINESTRING(116.0050000 39.0130000,116.0060000 39.0130000)"
"LINESTRING(116.0060000 39.0130000,116.0070000 39.0130000)"
"LINESTRING(116.0070000 39.0130000,116.0080000 39.0130000)"
"LINESTRING(116.0080000 39.0130000,116.0090000 39.0130000)"
"LINESTRING(116.0090000 39.0130000,116.0100000 39.0130000)"
"LINESTRING(116.0100000 39.0130000,116.0110000 39.0130000)"
"LINESTRING(116.0110000 39.0130000,116.0120000 39.0130000)"
"LINESTRING(116.0120000 39.0130000,116.0130000 39.0130000)"
"LINESTRING(116.0130000 39.0130000,116.0140000 39.0130000)"
"LINESTRING(116.0140000 39.0130000,116.0150000 39.0130000)"
"LINESTRING(116.0150000 39.0130000,116.0160000 39.0130000)"
"LINESTRING(116.0160000 39.0130000,116.0170000 39.0130000)"
"LINESTRING(116.0170000 39.0130000,116.0180000 39.0130000)"
"LINESTRING(116.0180000 39.0130000,116.0190000 39.0130000)"
"LINESTRING(116.0190000 39.0130000,116.0200000 39.0130000)"
"LINESTRING(116.0200000 39.0130000,116.0210000 39.0130000)"
"LINESTRING(116.0210000 39.0130000,116.0220000 39.0130000)"
"LINESTRING(116.0220000 39.0130000,116.0230000 39.0130000)"
"LINESTRING(116.0230000 39.0130000,116.0240000 39.0130000)"
"LINESTRING(116.0240000 39.0130000,116.0250000 39.0130000)"
"LINESTRING(116.0250000 39.0130000,116.0260000 39.0130000)"
"LINESTRING(116.0260000 39.0130000,116.0270000 39.0130000)"
"LINESTRING(116.0270000 39.0130000,116.0280000 39.0130000)"
"LINESTRING(116.0280000 39.0130000,116.0290000 39.0130000)"
"LINESTRING(116.0000000 39.0140000,116.0010000 39.0140000)"
"LINESTRING(116.0010000 39.0140000,116.0020000 39.0140000)"
"LINESTRING(116.0020000 39.0140000,116.0030000 39.0140000)"
"LINESTRING(116.0030000 39.0140000,116.0040000 39.0140000)"
